Name,Lead_Score,Pain_Score,Advice,Emails,Socials,Website_Status,Issues,Tech_Stack,Rating,Reviews,Website,Phone,Address,id,Tags,Vibes,Package_Name,Package_Price,Package_Includes
Burger Brothers,253.4,,"Traffic Waste: 902 reviews but NO website. Pitch: 'Capture direct bookings'. | High Value: Mentions function, event. Pitch: 'Premium clients expect a premium digital experience'. | Mobile: '50%+ of traffic bounces. We build mobile-first'.",,,Found by Scout,"Website Missing on Maps (Found: burgerbrothers.co.za), SSL Invalid/Missing, Slow Server (TTFB 3.61s), Not Mobile Friendly",,4.3,902,http://burgerbrothers.co.za,+27 21 881 3046,"R310 Baden Powell Dr, Lynedoch, Stellenbosch, 7603, South Africa",01817df5,"['No Website', 'Desktop Only', 'Slow Load', 'Insecure', 'No Socials', 'Luxury']",['Event Venue'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
On the Go Coffee Shop Gordons Bay,204.9,,Traffic Waste: 978 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.5,978,,+27 60 817 9816,"39 Beach Rd, Gordons Bay Central, Cape Town, 7151, South Africa",bf1a9a97,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Cafe Puka.,203.3,,Traffic Waste: 354 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.7,354,,+27 21 423 6715,"2 Brunswick Rd, Tamboerskloof, Cape Town, 8001, South Africa",a474f32a,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
"Cheereful Heart - Gifts, Coffee and Cake",202.7,,Traffic Waste: 235 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.8,235,,+27 83 291 0215,"1 Kyle St, Strand, Cape Town, 7139, South Africa",9eded01f,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Republique Café,201.1,,Traffic Waste: 146 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.9,146,,+27 64 726 4480,"19 Andringa St, Stellenbosch Central, Stellenbosch, 7599, South Africa",b6f2a5bc,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Decameron Restaurant,200.6,,Traffic Waste: 791 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.4,791,,+27 21 883 3331,"50 Plein St, Stellenbosch Central, Stellenbosch, 7600, South Africa",a96c874c,"['No Website', 'No Socials', 'Hidden Gem']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Jeff's Bistro,199.6,,Traffic Waste: 298 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.6,298,,+27 83 477 4145,"130 Main Rd, Strand, Cape Town, 7139, South Africa",b793c9f2,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Oh Hello Coffee Stop,198.7,,Traffic Waste: 141 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.8,141,,+27 72 252 5499,"123 Main Rd, Strand, 7140, South Africa",77d1b185,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Coffee wave,198.6,,Traffic Waste: 186 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.7,186,,,"Odeon Towers, shop 68 Beach Rd, Strand, Cape Town, 7140, South Africa",a98ad5a9,"['No Website', 'No Socials', 'Hidden Gem']",['Cozy/Casual'],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
Saddles Steak Ranch Bottelary,198.4,,Traffic Waste: 1598 reviews but NO website. Pitch: 'Capture direct bookings'.,,,Missing,,,4.2,1598,,+27 21 206 7831,"25 Bottelary Rd, Koelenhof, Cape Town, 7600, South Africa",05f26074,"['No Website', 'No Socials', 'Hidden Gem']",[],The Digital Foundation,"R 8,500","Custom Website, Google Maps Setup, Basic SEO"
